Customer_Name,Account_number,Pass_word,Customer_ID,Auditor_ID,Bank_Name,Policy_Version ,Audit_Details,Administrator_ID,Administrator_Name,Service_Provider_ID,Service_Provider_Name,Audit_Details,Account_Number,Debit_Card_number,Balance,Recurring_Status,Credit_Card_number,Expiry_Date,Maximum_limit,Credit_Card_Status,,Expiry_Date,Debit_Card_Status,,Recurring_Amount,Cheques_encashed,Cheque_payments,Check_books_issues,Cheque_Status
Kadeem,5.39174E+15,RHW81ZSJ1QX,76420,81224,,,20,4383631372,Aphrodite,5.37629E+15,Lillith,6,5.45129E+15,600542,26964,0,386597,2022-05-24 02:27:38,638070,1,,2032-02-03 22:56:41,1,,74122,0,0,0,1
Francis,5.51626E+15,UFC24IAL2MG,15936,52934,,,11,5965202007,Liberty,5.54082E+15,Colby,2,5.35408E+15,795213,46296,0,454667,2032-09-02 14:56:33,451710,1,,2028-03-09 16:23:38,1,,45336,0,0,0,1
Roth,5.15456E+15,VRN35BUU9WS,38662,54208,,,8,3840737835,Charlotte,5.23381E+15,Chaney,6,5.33129E+15,470250,81497,0,946175,2030-12-18 13:15:47,187428,1,,2023-03-16 17:50:09,1,,46160,0,0,0,0
Curran,5.10448E+15,LBZ68MZQ0IJ,46928,24253,,,15,5150633322,Mannix,5.38871E+15,Wilma,8,5.44355E+15,287928,44420,0,923549,2023-11-14 09:05:02,471206,0,,2029-04-25 13:42:47,1,,76755,0,0,0,0
Xantha,5.36235E+15,EUZ14GCE8EC,71405,10976,,,7,6954057699,Madaline,5.29114E+15,Florence,5,5.45387E+15,445517,68246,0,399314,2020-09-11 23:42:15,980319,0,,2031-04-18 04:48:10,0,,78674,0,0,0,0
Adara,5.47807E+15,GGV12TZQ3HS,8886,28954,,,20,6793473624,Evelyn,5.51823E+15,Cameron,9,5.32034E+15,669457,33652,1,413749,2028-07-01 03:14:07,44804,0,,2022-01-10 10:02:56,1,,33071,0,0,0,0
Nola,5.58912E+15,VZV23UBU5LU,76862,51254,,,11,3076160406,Dean,5.52954E+15,Zane,3,5.17317E+15,362054,6316,0,234394,2032-07-23 23:31:36,466652,1,,2020-10-25 16:32:48,1,,64476,0,0,0,0
Zahir,5.5477E+15,QFB17PBG3TD,76226,41445,,,8,2927065725,Nicole,5.33452E+15,Jonah,3,5.27297E+15,073829,53381,1,858322,2027-07-07 23:43:24,778204,0,,2029-01-23 10:34:17,1,,98861,0,0,0,0
Hop,5.26919E+15,BEN50OKQ8OU,92176,25954,,,2,7456711857,Celeste,5.40079E+15,Buckminster,2,5.23303E+15,607381,68954,0,612782,2030-09-09 16:48:20,87184,0,,2028-08-27 18:00:00,1,,6881,0,0,0,1
Shaine,5.40458E+15,PQC22FLY3UM,86002,98971,,,14,6602972422,TaShya,5.27255E+15,Mara,8,5.19242E+15,818183,31951,1,080676,2027-07-11 13:07:16,219357,1,,2033-01-05 00:39:13,1,,33130,0,0,0,0
Calvin,5.36624E+15,NTG25HLF1YT,91584,81224,,,16,1967701810,Cherokee,5.21646E+15,Owen,2,5.26682E+15,646568,82807,0,811869,2024-05-15 10:25:37,106052,0,,2030-01-28 13:00:42,0,,4589,0,0,0,1
Claire,5.35535E+15,OKM06AZZ3BP,16947,52934,,,6,4754379096,Lois,5.13939E+15,Orson,7,5.54189E+15,049269,24558,1,435260,2027-02-20 07:24:20,276262,0,,2027-12-21 11:56:20,0,,35626,0,0,0,1
Shelly,5.56073E+15,WNY82IBM1MX,53427,54208,,,,,,5.13404E+15,Adam,9,5.59783E+15,809031,83717,1,925363,2027-03-29 13:42:39,116097,0,,2026-10-20 03:16:37,1,,31640,0,0,0,0
Laurel,5.5287E+15,KUD15GNF5WK,92741,24253,,,,,,5.57911E+15,Brock,8,5.50673E+15,948755,63260,1,785239,2023-05-10 06:49:25,536876,1,,2027-09-18 06:07:03,1,,87263,0,0,0,0
Melinda,5.13087E+15,QSO89PHV9UF,21939,10976,,,,,,5.19075E+15,Jasmine,3,5.21178E+15,558085,5233,0,332168,2020-08-29 14:11:16,361716,0,,2029-05-19 21:12:20,1,,17242,0,0,0,0
Hilary,5.51376E+15,TVL03EXT5CZ,30296,28954,,,,,,5.59892E+15,Robert,4,5.12286E+15,750334,14122,1,990832,2028-03-03 07:39:30,840497,0,,2032-02-20 18:00:04,0,,24372,0,0,0,0
Flynn,5.16201E+15,CMQ77FEH9CA,40703,51254,,,,,,5.5047E+15,Kamal,9,5.42259E+15,073875,21630,1,282198,2023-02-17 03:14:56,420785,0,,2026-09-17 09:30:47,1,,85692,0,0,0,0
Brooke,5.12068E+15,UIY26VBW4VO,74830,41445,,,,,,5.57825E+15,Cameron,5,5.24686E+15,912076,27879,0,954606,2024-08-04 12:48:53,713922,1,,2032-07-19 15:49:43,1,,74214,0,0,0,1
Oprah,5.54169E+15,JFH69VLU3DZ,60114,25954,,,,,,5.1015E+15,Gloria,8,5.52315E+15,688052,50951,1,485062,2026-08-21 07:11:16,282011,0,,2026-12-20 06:08:44,1,,76156,0,0,0,1
Renee,5.54368E+15,TBP32RZY1BK,22880,98971,,,,,,5.32549E+15,Uriah,9,5.41355E+15,289250,80803,1,775827,2021-04-17 10:12:22,534860,0,,2032-08-01 15:14:40,0,,87624,0,0,0,0
Madonna,5.17858E+15,GNS41ECK7SM,21407,81224,,,,,,5.48858E+15,Hope,2,5.28728E+15,408732,32577,0,082157,2024-02-15 10:59:18,272337,1,,2024-12-30 23:51:45,1,,36237,0,0,0,0
Chantale,5.26106E+15,BHU50VML6DE,87766,52934,,,,,,5.21907E+15,Bernard,3,5.33399E+15,682068,49904,0,040208,2022-07-12 04:17:00,472431,0,,2022-08-29 05:02:18,1,,50659,0,0,0,1
Channing,5.57907E+15,QOA93YUQ0QE,94472,54208,,,,,,5.21914E+15,Aurelia,10,5.17497E+15,325551,11756,1,537904,2024-07-01 12:03:49,39147,1,,2027-06-12 13:09:04,1,,36598,0,0,0,0
Acton,5.43578E+15,JUZ73CRG1ZK,54285,24253,,,,,,5.34421E+15,Keelie,1,5.42549E+15,218289,35404,0,328241,2033-05-26 21:54:56,482627,1,,2025-06-13 01:48:51,0,,44244,0,0,0,0
Kylan,5.35128E+15,WKM87EAT8GT,20513,10976,,,,,,5.30217E+15,Emery,5,5.19965E+15,352051,14748,0,718519,2029-07-27 17:58:14,235608,0,,2029-10-12 08:45:06,1,,81580,0,0,0,0
Jada,5.57859E+15,AGH55XOP7AF,60024,28954,,,,,,5.31317E+15,Indira,2,5.24415E+15,304789,81940,0,842941,2022-10-02 21:58:35,514573,0,,2028-04-04 11:31:51,0,,81136,0,0,0,0
Darryl,5.48076E+15,SIB34UEJ3TT,6843,51254,,,,,,5.28526E+15,Lareina,7,5.11899E+15,944424,42387,1,667331,2029-01-22 21:25:45,484665,1,,2028-03-19 23:47:52,0,,68469,0,0,0,0
Willa,5.13853E+15,YIK57KFX2AW,16516,41445,,,,,,5.54095E+15,Neil,1,5.20861E+15,000745,78192,0,550490,2028-09-23 16:49:04,944054,0,,2033-04-03 15:18:24,0,,83929,0,0,0,1
Isabelle,5.20306E+15,DKK29RKP3CY,9080,25954,,,,,,5.2879E+15,Baker,7,5.59799E+15,170085,60669,0,079722,2027-10-06 18:21:15,745433,1,,2028-12-25 07:12:55,1,,66533,0,0,0,1
Ivory,5.10896E+15,OBG47NZD3EX,78872,98971,,,,,,5.51267E+15,Geoffrey,9,5.21491E+15,697000,24060,0,669067,2022-10-04 11:32:48,860322,1,,2030-11-26 23:41:04,0,,22715,0,0,0,0
Mark,5.18179E+15,NVZ21NPI6CQ,72988,81224,,,,,,5.33379E+15,Cain,2,5.34633E+15,163116,75049,0,542465,2026-02-04 00:43:15,859920,0,,2021-11-03 23:54:29,0,,17331,0,0,0,1
Blaze,5.58657E+15,QME32DYF4BQ,22453,52934,,,,,,5.31549E+15,Kim,7,5.29166E+15,067644,68996,0,120046,2021-09-05 23:53:23,263613,1,,2028-06-02 11:51:36,1,,15929,0,0,0,0
Quamar,5.56223E+15,PGM65TBR6OP,17494,54208,,,,,,5.34522E+15,Serena,1,5.24125E+15,837676,2636,0,756911,2030-11-25 16:31:30,322580,1,,2027-04-07 09:42:41,1,,69610,0,0,0,0
Harding,5.28488E+15,JXX10YLY8JS,59260,24253,,,,,,5.43248E+15,Sade,5,5.51983E+15,148753,33502,1,352121,2023-12-08 17:31:01,546177,1,,2026-06-17 05:16:51,0,,49744,0,0,0,0
Berk,5.45708E+15,UAC41BAA9MO,12752,10976,,,,,,5.11597E+15,Courtney,4,5.15732E+15,338842,25521,1,773011,2030-12-21 21:59:27,96960,0,,2022-03-17 05:54:02,1,,90721,0,0,0,1
Lamar,5.40601E+15,RTW67XLC9HJ,56426,28954,,,,,,5.51124E+15,Lucas,8,5.48996E+15,100755,78837,0,543936,2025-05-26 07:16:41,785700,0,,2031-10-01 10:03:03,0,,29894,0,0,0,0
Aristotle,5.20495E+15,XIR06CEZ9XE,41891,51254,,,,,,5.22529E+15,Edward,3,5.48911E+15,402485,30262,1,467712,2021-05-15 10:36:56,703713,1,,2032-01-21 05:45:22,0,,57963,0,0,0,1
Rama,5.50436E+15,HMJ64YEM0VZ,73841,41445,,,,,,5.19878E+15,Giacomo,8,5.58899E+15,761208,79786,1,612372,2020-12-20 05:04:59,493296,1,,2022-03-17 12:21:21,0,,6898,0,0,0,1
Emma,5.42734E+15,PTB96ZSB4GB,3612,25954,,,,,,5.36329E+15,Callum,9,5.12366E+15,855875,53172,1,141825,2023-09-20 10:14:31,832997,0,,2022-07-02 09:33:20,1,,30174,0,0,0,1
Aaron,5.48978E+15,WFI11UQO8TG,74765,98971,,,,,,5.40927E+15,Uriel,1,5.13689E+15,334899,4573,0,761906,2028-08-12 07:46:39,920999,1,,2024-01-03 16:51:45,0,,91329,0,0,0,0
Forrest,5.55668E+15,IZI76UOG1OD,47267,81224,,,,,,5.22287E+15,Raja,5,5.22086E+15,050301,71564,1,022842,2030-10-09 03:09:39,537011,1,,2032-07-17 15:00:18,1,,2235,0,0,0,1
Curran,5.59333E+15,XWN28UWM4EO,53658,52934,,,,,,5.43642E+15,Isabelle,1,5.13054E+15,841053,7660,1,991850,2025-08-22 13:58:16,857354,0,,2030-07-12 01:55:11,0,,42604,0,0,0,1
Jeremy,5.27759E+15,PMW40OTH8XM,51235,54208,,,,,,5.16931E+15,Martha,1,5.10223E+15,070232,79177,0,645058,2026-09-26 07:54:29,449945,0,,2021-03-27 16:48:32,1,,91449,0,0,0,0
Willow,5.49754E+15,YXQ52RJC3PE,40594,24253,,,,,,5.11345E+15,Mohammad,4,5.55436E+15,569567,21337,1,203960,2023-09-25 10:31:13,156054,0,,2022-08-04 23:10:54,1,,83085,0,0,0,0
Eaton,5.15449E+15,GIG12KUC2EK,78385,10976,,,,,,5.36785E+15,Elliott,2,5.43986E+15,285845,72445,1,203082,2020-03-30 18:43:21,710077,0,,2027-01-29 14:35:25,1,,82953,0,0,0,1
Jemima,5.46732E+15,IHW82RFR7ZU,88084,28954,,,,,,5.33283E+15,Clarke,7,5.31086E+15,907079,59738,0,986257,2027-02-08 04:03:22,160523,0,,2027-02-22 08:11:52,1,,47746,0,0,0,1
Gloria,5.22757E+15,ACM70ZNF7NZ,66912,51254,,,,,,5.41701E+15,Allen,5,5.12735E+15,413098,88701,0,783693,2033-05-20 04:39:35,527095,0,,2022-12-22 00:21:16,0,,80198,0,0,0,0
Reed,5.19188E+15,TRB17HRO0XV,89765,41445,,,,,,5.24965E+15,Dennis,5,5.52871E+15,162288,39489,1,938229,2025-11-03 13:40:30,683861,0,,2020-06-11 12:00:16,0,,17034,0,0,0,0
Cameran,5.11817E+15,KGR16KJQ8WR,11486,25954,,,,,,5.24742E+15,Risa,7,5.28326E+15,738299,44862,1,323003,2021-05-28 02:17:34,941012,1,,2023-10-29 23:59:20,0,,25062,0,0,0,1
Mira,5.55559E+15,GFZ44VTA8CS,17189,98971,,,,,,5.46847E+15,Levi,2,5.54925E+15,666151,50474,1,721985,2030-02-25 08:11:45,810224,1,,2021-11-09 23:53:33,1,,13191,0,0,0,0
Ferdinand,5.46531E+15,AXU23RKA4RJ,58014,81224,,,,,,5.10317E+15,Melanie,3,5.2668E+15,613951,72662,1,720005,2028-09-11 09:08:38,876069,0,,2025-10-30 15:36:09,0,,59581,0,0,0,0
Cathleen,5.45579E+15,BLV96JSF7DT,5381,52934,,,,,,5.4202E+15,Lee,2,5.19175E+15,559236,9613,0,813919,2021-08-31 23:49:58,654101,0,,2020-07-09 22:08:28,1,,39388,0,0,0,1
Aristotle,5.29791E+15,FPQ65ROB3MA,9264,54208,,,,,,5.44895E+15,Noble,6,5.17919E+15,401201,8574,0,560048,2025-08-04 09:37:12,525822,1,,2022-11-23 14:04:40,1,,25563,0,0,0,1
Azalia,5.42825E+15,OWS97HAE0ZM,44905,24253,,,,,,5.40201E+15,Blossom,9,5.35645E+15,828051,24579,1,301723,2026-01-15 01:41:19,182741,1,,2029-01-16 18:12:42,0,,23611,0,0,0,0
Alan,5.52935E+15,MKX42HQS5AJ,33940,10976,,,,,,5.36055E+15,Meghan,10,5.50605E+15,149531,84643,0,271895,2031-08-29 20:54:10,214072,0,,2021-02-20 04:02:02,1,,51647,0,0,0,0
Rose,5.54509E+15,LON25JZD4LW,56805,28954,,,,,,5.37469E+15,Shannon,5,5.19764E+15,022412,70759,0,712806,2024-02-11 10:05:45,820366,0,,2021-10-12 13:39:42,0,,8278,0,0,0,0
Dieter,5.18097E+15,VJV34DIB6HE,13746,51254,,,,,,5.52272E+15,Jelani,10,5.48052E+15,876708,67522,0,203483,2029-03-07 21:26:21,16118,0,,2022-06-20 14:27:50,1,,40159,0,0,0,0
Kelsie,5.29132E+15,JHM07VTR3YJ,93653,41445,,,,,,5.39001E+15,Bruce,6,5.10153E+15,272756,82403,0,732083,2026-12-01 14:07:42,254149,0,,2027-02-20 10:04:02,0,,78804,0,0,0,1
Chancellor,5.15762E+15,TRM69BAV7YO,77716,25954,,,,,,5.45547E+15,Mariko,8,5.12909E+15,120201,29990,0,318248,2031-09-28 09:00:35,39149,1,,2033-10-03 09:05:31,0,,24305,0,0,0,1
Paloma,5.56492E+15,IGD99RZI7OL,60011,98971,,,,,,5.10059E+15,Brennan,7,5.55847E+15,170599,10424,1,271348,2025-08-13 19:40:53,281663,1,,2029-09-26 22:56:04,0,,64246,0,0,0,1
Charity,5.5052E+15,NHL83XAE7BF,57351,81224,,,,,,5.41242E+15,Uma,8,5.31603E+15,962172,66765,1,836958,2025-03-28 13:19:30,198314,0,,2025-05-02 02:11:36,1,,77110,0,0,0,0
Lisandra,5.26357E+15,RFP21VQE4VI,31360,52934,,,,,,5.57871E+15,Alan,2,5.18561E+15,372455,51699,1,052951,2032-02-11 23:20:02,542963,0,,2020-07-18 00:12:25,0,,75686,0,0,0,0
Vincent,5.45679E+15,WXV22JWC2HZ,67750,54208,,,,,,5.53877E+15,Nathan,10,5.30618E+15,967292,87582,1,554797,2026-12-10 10:22:11,561856,1,,2021-01-18 08:31:51,0,,23132,0,0,0,0
Irene,5.301E+15,JTX19PAO5ZL,14080,24253,,,,,,5.34102E+15,Felix,1,5.13861E+15,156744,96347,0,856156,2026-01-23 12:37:00,937486,1,,2026-11-03 12:07:48,1,,90454,0,0,0,0
Raven,5.45619E+15,ZAF92QWD6CK,97390,10976,,,,,,5.49042E+15,Tiger,3,5.52918E+15,898951,7134,0,165645,2029-10-19 23:52:17,379269,0,,2028-05-12 12:17:12,1,,17530,0,0,0,1
Reese,5.2454E+15,FLJ20DWY2ZU,36135,28954,,,,,,5.33235E+15,Kerry,3,5.14233E+15,904667,64130,0,532875,2026-02-26 00:47:29,396708,1,,2031-07-30 15:01:49,1,,9053,0,0,0,1
Benedict,5.4677E+15,AQC59XJX8JW,96109,51254,,,,,,5.36306E+15,Edward,7,5.29565E+15,819982,47592,0,598630,2025-02-11 21:58:09,276485,1,,2032-07-29 19:48:35,0,,24017,0,0,0,0
Kerry,5.34682E+15,JTC98LIR4OJ,66061,41445,,,,,,5.45972E+15,Christian,9,5.51685E+15,449422,88486,0,480711,2026-07-23 22:46:10,347792,0,,2021-09-21 10:00:05,0,,55044,0,0,0,0
Eleanor,5.31806E+15,AZJ15MOC4JH,29068,25954,,,,,,5.19605E+15,Scarlett,2,5.34252E+15,907477,38104,0,862405,2021-09-17 10:50:09,657205,1,,2021-01-13 23:20:11,0,,391,0,0,0,1
Aretha,5.15414E+15,NZA10DHC0UC,81225,98971,,,,,,5.48687E+15,Sonya,2,5.16679E+15,433234,45822,0,665225,2023-05-27 22:29:39,776780,1,,2020-05-29 17:30:39,1,,15453,0,0,0,0
Aretha,5.54162E+15,QFR10DVF0YC,4741,81224,,,,,,5.35017E+15,Karleigh,6,5.47116E+15,258724,89652,1,089122,2028-02-22 04:54:44,554569,1,,2030-07-19 04:14:19,1,,42178,0,0,0,1
Lillith,5.53772E+15,DRS47ZTK6EX,96923,52934,,,,,,5.1777E+15,Rigel,1,5.51033E+15,549456,45530,1,131996,2030-04-29 14:33:02,135807,0,,2024-09-27 01:08:11,1,,61514,0,0,0,1
Tatum,5.21301E+15,UUI24ETO5RX,78576,54208,,,,,,5.35853E+15,Buckminster,10,5.50933E+15,096863,69815,0,564183,2027-01-16 14:54:28,29716,1,,2025-08-13 18:23:35,1,,8832,0,0,0,1
Chava,5.20005E+15,OZR65RRB4WT,45580,24253,,,,,,5.10381E+15,Calista,9,5.2983E+15,496767,15968,0,122792,2028-04-18 14:47:26,35278,0,,2027-09-09 19:09:43,0,,33269,0,0,0,1
Deanna,5.1784E+15,EGJ79XOJ5WQ,17362,10976,,,,,,5.38134E+15,Chanda,8,5.26903E+15,648560,85042,0,058321,2021-10-07 08:08:21,101926,1,,2031-01-04 16:18:09,1,,97704,0,0,0,1
Lars,5.20901E+15,AHV90FSH3LT,91894,28954,,,,,,5.35489E+15,Ursa,3,5.10219E+15,407794,19009,0,474568,2026-11-23 17:05:32,648505,1,,2032-05-10 23:32:28,0,,49581,0,0,0,0
Oliver,5.56789E+15,AKK86APV9OJ,79510,51254,,,,,,5.50859E+15,Alfreda,4,5.358E+15,764484,2576,1,704374,2031-12-30 05:04:58,294155,0,,2030-10-28 23:47:57,0,,16215,0,0,0,0
Norman,5.27569E+15,TSL77EFE5CU,37844,41445,,,,,,5.43871E+15,Aileen,4,5.35899E+15,977210,83741,1,558743,2029-06-08 05:38:51,607868,1,,2021-11-08 19:41:25,1,,47578,0,0,0,0
Fredericka,5.23796E+15,KWS16HLN9RN,3690,25954,,,,,,5.31827E+15,Samson,9,5.2215E+15,027830,90620,0,698592,2025-08-12 17:02:28,389760,0,,2021-09-06 14:47:45,1,,61188,0,0,0,0
Sophia,5.27013E+15,MTR88ABG4QR,68750,98971,,,,,,5.39408E+15,Cherokee,10,5.18903E+15,114697,82625,0,871731,2032-09-04 04:39:48,257149,1,,2029-03-04 23:41:26,1,,18329,0,0,0,0
Heather,5.50423E+15,UIF22DNS1MB,75479,81224,,,,,,5.5114E+15,Anastasia,10,5.23525E+15,544134,36435,0,520515,2032-12-19 04:48:42,518175,1,,2020-06-06 22:21:03,0,,40246,0,0,0,0
Lee,5.21168E+15,LNV39MHQ2ZH,85283,52934,,,,,,5.26641E+15,Zenia,4,5.19227E+15,111938,40958,1,696446,2029-11-28 21:13:18,44623,1,,2028-10-26 23:29:26,0,,65714,0,0,0,1
Emmanuel,5.2458E+15,KAY63ODA8JL,47198,54208,,,,,,5.29521E+15,Rose,4,5.43205E+15,759337,50487,1,606978,2025-01-30 14:56:15,302153,0,,2026-10-22 19:00:55,1,,94019,0,0,0,0
Eden,5.4018E+15,UZQ25JVE4LN,16853,24253,,,,,,5.165E+15,Grant,9,5.13392E+15,521540,37761,0,432251,2026-02-09 15:18:08,852298,1,,2030-10-03 08:10:06,0,,81067,0,0,0,1
Chancellor,5.15157E+15,ORY94JYK3IZ,72864,10976,,,,,,5.22928E+15,Cullen,5,5.40563E+15,163870,61248,0,689587,2031-01-11 14:47:49,626601,1,,2026-01-03 08:44:31,0,,21358,0,0,0,0
Xanthus,5.56739E+15,RYQ54MXG7DI,66277,28954,,,,,,5.32008E+15,Orson,4,5.21621E+15,007386,56323,1,815313,2023-04-03 23:34:25,396704,1,,2030-09-13 02:53:50,0,,31061,0,0,0,0
Hayes,5.41879E+15,QQD28HNC6DP,74231,51254,,,,,,5.1087E+15,Louis,8,5.57094E+15,218096,65353,1,134014,2032-03-04 20:18:35,39602,0,,2019-12-17 02:39:07,1,,97591,0,0,0,0
